"ITTER107","Territorio","TIPO_DATO_AVQ","Tipo dato","MISURA_AVQ","Misura","TIME","Seleziona periodo","Value","Flag Codes","Flags"
"ITE4","Lazio","3_LUNCH_CAF","pranzo al bar","THV","valori in migliaia","2020","2020",154,,
"ITE4","Lazio","3_LUNCH_CAF","pranzo al bar","THV","valori in migliaia","2021","2021",89,,
"ITE4","Lazio","3_LUNCH_CAF","pranzo al bar","THV","valori in migliaia","2022","2022",146,,
"ITE4","Lazio","3_LUNCH_CAF","pranzo al bar","THV","valori in migliaia","2023","2023",118,,
"ITF5","Basilicata","3_LUNCH_WORK","pranzo sul posto di lavoro","THV","valori in migliaia","1993","1993",0,,
"ITF5","Basilicata","3_LUNCH_WORK","pranzo sul posto di lavoro","THV","valori in migliaia","1994","1994",0,,
"ITF5","Basilicata","3_LUNCH_WORK","pranzo sul posto di lavoro","THV","valori in migliaia","1995","1995",0,,
"ITF5","Basilicata","3_LUNCH_WORK","pranzo sul posto di lavoro","THV","valori in migliaia","1996","1996",0,,
"ITF5","Basilicata","3_LUNCH_WORK","pranzo sul posto di lavoro","THV","valori in migliaia","1997","1997",21,,
"ITF5","Basilicata","3_LUNCH_WORK","pranzo sul posto di lavoro","THV","valori in migliaia","1998","1998",23,,
"ITF5","Basilicata","3_LUNCH_WORK","pranzo sul posto di lavoro","THV","valori in migliaia","1999","1999",26,,
"ITF5","Basilicata","3_LUNCH_WORK","pranzo sul posto di lavoro","THV","valori in migliaia","2000","2000",25,,
"ITF5","Basilicata","3_LUNCH_WORK","pranzo sul posto di lavoro","THV","valori in migliaia","2001","2001",20,,
"ITF5","Basilicata","3_LUNCH_WORK","pranzo sul posto di lavoro","THV","valori in migliaia","2002","2002",16,,
"ITF5","Basilicata","3_LUNCH_WORK","pranzo sul posto di lavoro","THV","valori in migliaia","2003","2003",24,,
"ITF5","Basilicata","3_LUNCH_WORK","pranzo sul posto di lavoro","THV","valori in migliaia","2005","2005",15,,
"ITF5","Basilicata","3_LUNCH_WORK","pranzo sul posto di lavoro","THV","valori in migliaia","2006","2006",20,,
"ITF5","Basilicata","3_LUNCH_WORK","pranzo sul posto di lavoro","THV","valori in migliaia","2007","2007",23,,
"ITF5","Basilicata","3_LUNCH_WORK","pranzo sul posto di lavoro","THV","valori in migliaia","2008","2008",20,,
"ITF5","Basilicata","3_LUNCH_WORK","pranzo sul posto di lavoro","THV","valori in migliaia","2009","2009",24,,
"ITF5","Basilicata","3_LUNCH_WORK","pranzo sul posto di lavoro","THV","valori in migliaia","2010","2010",25,,
"ITF5","Basilicata","3_LUNCH_WORK","pranzo sul posto di lavoro","THV","valori in migliaia","2011","2011",25,,
"ITF5","Basilicata","3_LUNCH_WORK","pranzo sul posto di lavoro","THV","valori in migliaia","2012","2012",34,,
"ITF5","Basilicata","3_LUNCH_WORK","pranzo sul posto di lavoro","THV","valori in migliaia","2013","2013",19,,
"ITF5","Basilicata","3_LUNCH_WORK","pranzo sul posto di lavoro","THV","valori in migliaia","2014","2014",19,,
"ITF5","Basilicata","3_LUNCH_WORK","pranzo sul posto di lavoro","THV","valori in migliaia","2015","2015",22,,
"ITF5","Basilicata","3_LUNCH_WORK","pranzo sul posto di lavoro","THV","valori in migliaia","2016","2016",26,,
"ITF5","Basilicata","3_LUNCH_WORK","pranzo sul posto di lavoro","THV","valori in migliaia","2017","2017",28,,
"ITF5","Basilicata","3_LUNCH_WORK","pranzo sul posto di lavoro","THV","valori in migliaia","2018","2018",38,,
"ITF5","Basilicata","3_LUNCH_WORK","pranzo sul posto di lavoro","THV","valori in migliaia","2019","2019",30,,
"ITF5","Basilicata","3_LUNCH_WORK","pranzo sul posto di lavoro","THV","valori in migliaia","2020","2020",31,,
"ITF5","Basilicata","3_LUNCH_WORK","pranzo sul posto di lavoro","THV","valori in migliaia","2021","2021",29,,
"ITF5","Basilicata","3_LUNCH_WORK","pranzo sul posto di lavoro","THV","valori in migliaia","2022","2022",29,,
"ITF5","Basilicata","3_LUNCH_WORK","pranzo sul posto di lavoro","THV","valori in migliaia","2023","2023",22,,
"ITE4","Lazio","3_LUNCH_REST","pranzo al ristorante o trattoria","HSC","per 100 persone con le stesse caratteristiche","1993","1993",2.3,,
